Rodada;Data;Horário;Dia;Mandante;Visitante;Vencedor;Arena;Mandante Placar;Visitante Placar;Estado Mandante;Estado Visitante;Estado Vencedor
8;08/06/2019;19:00;Sábado;Cruzeiro;Corinthians;-;Mineirão;0;0;MG;SP;-
8;08/06/2019;21:00;Sábado;Avaí;São Paulo;-;Ressacada;0;0;SC;SP;-
8;08/06/2019;19:00;Sábado;Grêmio;Fortaleza;Grêmio;Centenário;1;0;RS;CE;RS
8;08/06/2019;16:30;Sábado;Palmeiras;Athlético-PR;Palmeiras;Allianz Parque;1;0;SP;PR;SP
8;09/06/2019;19:00;Domingo;Fluminense;Flamengo;-;Maracanã;0;0;RJ;RJ;-
8;09/06/2019;19:00;Domingo;CSA;Botafogo-RJ;Botafogo-RJ;Rei Pelé;1;2;AL;RJ;RJ
8;09/06/2019;19:00;Domingo;Santos;Atlético-MG;Santos;Pacaembu;3;1;SP;MG;SP
8;10/06/2019;20:00;Segunda-feira;Goiás;Chapecoense;Goiás;Serra Dourada;3;1;GO;SC;GO
9;12/06/2019;21:30;Quarta-feira;CSA;Flamengo;Flamengo;Mané Garrincha;0;2;AL;RJ;RJ
9;12/06/2019;21:00;Quarta-feira;Fortaleza;Cruzeiro;Fortaleza;Castelão;2;1;CE;MG;CE
9;12/06/2019;19:15;Quarta-feira;Botafogo-RJ;Grêmio;Grêmio;Engenhão;0;1;RJ;RS;RS
9;12/06/2019;21:30;Quarta-feira;Internacional;Bahia;Internacional;Beira Rio;3;1;RS;BA;RS
9;12/06/2019;21:30;Quarta-feira;Santos;Corinthians;Santos;Vila Belmiro;1;0;SP;SP;SP
9;13/06/2019;20:00;Quinta-feira;Chapecoense;Fluminense;-;Arena Condá;1;1;SC;RJ;-
9;13/06/2019;20:00;Quinta-feira;Atlético-MG;São Paulo;-;Independência;1;1;MG;SP;-
9;13/06/2019;20:00;Quinta-feira;Goiás;Athlético-PR;Goiás;Serra Dourada;2;1;GO;PR;GO
9;13/06/2019;20:00;Quinta-feira;Palmeiras;Avaí;Palmeiras;Allianz Parque;2;0;SP;SC;SP
9;13/06/2019;19:15;Quinta-feira;Vasco;Ceará;Vasco;São Januário;1;0;RJ;CE;RJ
10;13/07/2019;19:00;Sábado;São Paulo;Palmeiras;-;Morumbi;1;1;SP;SP;-
10;13/07/2019;17:00;Sábado;Fortaleza;Avaí;Fortaleza;Castelão;2;0;CE;SC;CE
10;13/07/2019;17:00;Sábado;Grêmio;Vasco;Grêmio;Arena do Grêmio;2;1;RS;RJ;RS
10;13/07/2019;19:00;Sábado;Bahia;Santos;Santos;Fonte Nova;0;1;BA;SP;SP
10;14/07/2019;16:00;Domingo;Cruzeiro;Botafogo-RJ;-;Mineirão;0;0;MG;RJ;-
10;14/07/2019;16:00;Domingo;Athlético-PR;Internacional;Athlético-PR;Arena da Baixada;1;0;PR;RS;PR
10;14/07/2019;19:00;Domingo;Chapecoense;Atlético-MG;Atlético-MG;Arena Condá;1;2;SC;MG;MG
10;14/07/2019;16:00;Domingo;Corinthians;CSA;Corinthians;Arena Corinthians;1;0;SP;AL;SP
10;14/07/2019;11:00;Domingo;Flamengo;Goiás;Flamengo;Maracanã;6;1;RJ;GO;RJ
10;15/07/2019;20:00;Segunda-feira;Fluminense;Ceará;-;Maracanã;1;1;RJ;CE;-
11;20/07/2019;17:00;Sábado;Bahia;Cruzeiro;-;Fonte Nova;0;0;BA;MG;-
11;20/07/2019;19:00;Sábado;Internacional;Grêmio;-;Beira Rio;1;1;RS;RS;-
11;20/07/2019;19:00;Sábado;CSA;Athlético-PR;Athlético-PR;Rei Pelé;0;4;AL;PR;PR
11;20/07/2019;19:00;Sábado;Ceará;Palmeiras;Ceará;Castelão;2;0;CE;SP;CE
11;20/07/2019;11:00;Sábado;Vasco;Fluminense;Vasco;São Januário;2;1;RJ;RJ;RJ
11;21/07/2019;16:00;Domingo;Corinthians;Flamengo;-;Arena Corinthians;1;1;SP;RJ;-
11;21/07/2019;16:00;Domingo;Atlético-MG;Fortaleza;-;Independência;2;2;MG;CE;-
11;21/07/2019;19:00;Domingo;Avaí;Goiás;-;Ressacada;0;0;SC;GO;-
11;21/07/2019;11:00;Domingo;Botafogo-RJ;Santos;Santos;Engenhão;0;1;RJ;SP;SP
11;22/07/2019;20:00;Segunda-feira;São Paulo;Chapecoense;São Paulo;Morumbi;4;0;SP;SC;SP
12;27/07/2019;17:00;Sábado;Palmeiras;Vasco;-;Allianz Parque;1;1;SP;RJ;-
12;27/07/2019;19:00;Sábado;Cruzeiro;Athlético-PR;Athlético-PR;Mineirão;0;2;MG;PR;PR
12;27/07/2019;19:00;Sábado;Internacional;Ceará;Internacional;Beira Rio;1;0;RS;CE;RS
12;27/07/2019;19:00;Sábado;Fluminense;São Paulo;São Paulo;Maracanã;1;2;RJ;SP;SP
